,sku,name,desc,promo_price,in_stock,type,max_price,price
0,RAI0007,Silver Rain Design mStand Support,Aluminum support compatible with all MacBook,499.899,1,8696,54.99,54.99
1,APP0023,Apple Mac Keyboard Keypad Spanish,USB ultrathin keyboard Apple Mac Spanish.,589.996,0,13855401,60.49,60.49
2,APP0025,Mighty Mouse Apple Mouse for Mac,mouse Apple USB cable.,569.898,0,1387,59,59
3,APP0072,Apple Dock to USB Cable iPhone and iPod white,IPhone dock and USB Cable Apple iPod.,229.997,0,1230,25,25
4,KIN0007,Mac Memory Kingston 2GB 667MHz DDR2 SO-DIMM,2GB RAM Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).,31.99,1,1364,35.71,35.71
5,APP0073,Apple Composite AV Cable iPhone and iPod white,IPhone and iPod AV Cable Dock to Composite Video.,420.003,0,1230,45,45
6,KIN0009,Mac Memory Kingston 2GB 800MHz DDR2 SO-DIMM,2GB RAM iMac with Intel Core 2 Duo (Penryn).,274.694,0,1364,36.99,36.99
7,KIN0001-2,Mac memory Kingston 4GB (2x2GB) 667MHz DDR2 SO-DIMM,RAM 4GB (2x2GB) Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).,669.904,0,1364,76.99,76.99
8,APP0100,Apple Adapter Mini Display Port to VGA,Adapter Mini Display Port to VGA MacBook and MacBook Pro (unibody).,330.003,0,1325,35,35
9,APP0101,Apple Mini DisplayPort to DVI Adapter,Adapter mini DisplayPort to DVI MacBook and MacBook Pro (unibody).,330.003,0,1325,35,35
10,APP0111,Apple USB Ethernet Adapter Mac,USB to Ethernet adapter Mac.,330.003,0,1334,35,35
11,APP0156,45W MagSafe charger Apple MacBook Air,Charger MacBook Air MagSafe 45 W (MC747Z / A).,849.904,0,13005399,89,89
12,MOS0013,Adapter Moshi FireWire 400 to FireWire 800,FireWire 400 adapter cable FireWire 800.,179.891,0,1325,17.99,17.99
13,MOS0021,Clearguard Moshi MacBook Pro and Air,Keyboard Protector MacBook Pro 13-inch Retina 15 inches 17 inches 13 inches 15 inches and 13-inch Air.,249.889,0,13835403,24.99,24.99
14,APP0206,"60W MagSafe charger Apple MacBook and MacBook Pro 13 """,Charger MacBook and 13 inch MacBook MagSafe 60 W (MC461Z / A).,849.904,1,13005399,89,89
15,HGD0007,"Henge Docks Docking Station MacBook Pro 13 """,Dock and support with multiple connections for MacBook Pro 13-inch.,699.864,0,12995397,69.99,69.99
16,MUV0009,Muvit Back Clear Case iPhone 4 / 4S Transparent,Case iPhone 4 / 4S polycarbonate.,7.986,0,11865403,9.99,9.99
17,APP0234,Apple Dock Connector to VGA,Dock Connector to VGA IOS.,350.005,0,13955395,35,35
18,APP0247,"85W MagSafe charger Apple MacBook Pro 15 ""/ 17""",Charger MacBook Pro MagSafe 85 W (MC556Z / A).,849.904,1,13005399,89,89
19,APP0280,Apple HDMI to HDMI Cable 1.8m,HMDI to HDMI Cable 1.8m.,240.004,0,1325,25,25
20,OND0069,Adapter mini DVI to HDMI,Adapter mini DVI to HDMI for Mac and PC,149.895,0,1325,14.99,14.99
21,SNN0007,Sonnet Tempo SATA PCIe Mac and PC E2P,PCIe Card with 2 Serial ATA ports Mac and PC.,502.102,0,1276,58.9,58.9
22,KIN0025,Mac memory DIMM DDR3 2GB 1333MHz Kingston,2GB RAM Mac Pro (July 2010).,179.903,0,1364,18.31,18.31
23,OND0073,Mini DisplayPort to HDMI Cable 18m,Cable with Mini DisplayPort to HDMI (audio + video),169.896,0,1325,16.99,16.99
24,BEL0070,Music Receiver Belkin iPhone music receiver,Music Receiver iPhone iPad and iPod Touch for stereos via Bluetooth,299.899,0,11905404,29.99,29.99
25,LMP0007,KeyPad LMP Bluetooth Keypad Mac,expansion keypad Mac with bluetooth connection.,399.905,1,13855401,39.99,39.99
26,TWS0019,Twelve South MagicWand support Apple Magic Trackpad,MagicWand for wireless keyboard and Magic Trackpad.,299.899,0,8696,29.99,29.99
27,BEL0072,Belkin PRO Series USB 2.0 Cable 18M,USB Cable USB type A and type B 18m in length for Mac and PC,29.899,1,1325,2.99,2.99
28,APP0308,AV Cable Adapter Apple iPhone iPad and iPod white,IPhone iPad iPod adapter and AV cable.,359.999,0,1230,45,45
29,GRT0196,Griffin Survivor Extreme-Duty Case iPad 2 3 and 4 black,IPad 2 Case 3 and 4 for extreme ultra resistant.,499.899,0,12635403,49.99,49.99
30,MUV0023,Extreme Muvit iPhone and iPod BikeMount sleeve black Touch,IPhone and iPod support sleeve waterproof App Touch and bicycle.,169.896,0,11865403,16.99,16.99
31,JMO0026,Just Mobile Lazy Couch Support Mac and iPad,Mac and iPad small lift stand.,199.892,0,8696,19.99,19.99
32,OWC0007,OWC Data Doubler Optical Bay adapter Macbook / Macbook Pro,Tray SuperDrive replacement hard disk or SSD.,399.905,1,12755395,39.99,39.99
33,KEN0028,Kensington ClickSafe lock Mac and PC,Mac and PC padlock with keys.,499.899,0,1325,49.99,49.99
34,APP0343,Apple Thunderbolt Cable 2m White,Cable Mac Apple Thunderbolt 2m.,429.998,1,1325,45,45
35,TWS0027,"Twelve South BookBook Case MacBook Air / Pro 13 ""brown",Funda Macbook Air / Pro 13 inch vintage leather with padded interior.,749.898,0,13835403,74.99,74.99
36,APP0367,Apple Mini DisplayPort to DVI Adapter Mac dual channel,Adapter Mini Display Port to DVI dual channel MacBook MacBook Pro and MacBook Air.,1.119.976,0,1325,112,112
37,KIN0002-2,Mac memory Kingston 2GB (2x1GB) 667MHz DDR2 SO-DIMM,RAM 2GB (2x1GB) Mac mini and iMac (2006/07) MacBook Pro (2006/07/08).,289.904,0,1364,31.99,31.99
38,KIN0003-2,Mac memory Kingston 4GB (2x2gb) SO-DIMM DDR2 800MHz,RAM 4GB (2x2gb) iMac with Intel Core 2 Duo (Penryn).,539.902,0,1364,58.99,58.99
39,MOS0065,Moshi TeraGlove cleaner screens,Microfibre screen cleaner for Mac iPhone iPad and iPod.,149.895,0,12355400,14.99,14.99
40,WAC0032,Wacom Bamboo Stylus Pack 3 first generation tips,3 Pack Bamboo Stylus pen tips iPad iPhone and iPod Touch.,4.99,0,1229,4.99,4.99
41,SPE0045,"Speck SeeThru Satin Case Macbook Air 11 ""Black",rigid housing MacBook Air 11 inches,399.905,0,13835403,36.99,36.99
42,LAC0141,LaCie Porsche Design 1TB External Hard Drive Mac and PC,External Hard Drive Mac and PC USB 3.0 1TB,777.945,0,11935397,82.99,82.99
43,HGD0012,Henge Docks Click keyboard support iMac,Base to hold the Apple Magic TrackPad and Wireless Keyboard Dock,269.903,0,8696,26.99,26.99
44,MAK0008,Maclocks theft case iPad 2 3 and 4 black with rotary support,Case antitheft iPad 2 3 and 4 polycarbonate rotary support.,1.199.957,0,12635403,114,114
45,MAK0007,Maclocks theft case iPad 2 3 and 4 transparent rotary support,Case antitheft iPad 2 3 and 4 polycarbonate rotary support.,1.079.961,0,12635403,108,108
46,MAK0009,Maclocks theft case iPad 2 3 and 4 transparent,Case antitheft iPad 2 3 and 4 polycarbonate support and lock.,799.931,0,12635403,79.99,79.99
47,SEA0039,"Seagate Barracuda 2TB 35 ""SATA hard drive Mac and PC",Internal Hard Drive 2TB Mac and PC (ST2000DM006),639.945,1,12655397,76.58,76.58
48,SYN0047,Synology Pack 1 license for IP camera,1 Pack license Mac and PC camera.,529.859,1,1404,52.99,52.99
49,SYN0048,Synology Pack 4 IP camera licenses,4 Pack licenses Mac and PC camera.,181.984,0,1404,181.98,181.98
50,WAC0040,Wacom Bamboo Wireless Kit / Intuos graphics tablet accessory kit 5,Wireless Kit Wacom graphics tablets.,369.897,1,101781405,36.99,36.99
51,WAC0045,Wacom Intuos Airbrush stylus 4/5,stylus for pen tablets Cintiq 21UX Intuos 4/5 - 24HD,999.944,0,1229,99.99,99.99
52,WAC0046,Intuos Wacom stylus ArtPen 5/4,special stylus Mac and PC for Intuos4 graphics tablet / 5.,999.944,0,1229,99.99,99.99
53,SEA0044,"Seagate Barracuda 3TB 35 ""SATA hard drive Mac and PC",internal hard drive Mac and PC 3TB (ST3000DM008).,849.045,1,12655397,100.58,100.58
54,OTR0045,External Slim Case for SuperDrive MacBook / MacBook Pro,External SuperDrive case for MacBook and MacBook Pro.,299.899,1,12995397,29.99,29.99
55,IKM0013,IK Multimedia iRig MIX DJ Mixer iPhone iPad and iPod,Dj mixer iPhone iPad and iPod.,519.937,0,11905404,79.99,79.99
56,IKM0014,IK Multimedia iRig Stomp Guitar Pedal iPhone iPad and iPod,Guitar Pedal iPhone iPad and iPod.,539.902,0,11905404,53.99,53.99
57,IKM0015,IK Multimedia iRig PRE microphone adapter iPhone iPad and iPod,Microphone Adapter iPhone iPad and iPod.,349.932,1,11905404,34.99,34.99
58,IKM0016,IK Multimedia iRig MIC Cast iPhone iPad and iPod microphone,iPhone iPad and iPod microphone.,339.889,0,11905404,36.99,36.99
59,PAC0023,OWC Data Doubler Pack MacBook / MacBook Pro,Pack Replacement Superdrive for SSD / HDD + box Super Slim Superdrive + Tools.,559.903,1,12755395,65.99,65.99
60,HGD0015,"Henge Docks Docking Station MacBook Air 13 """,Dock MacBook Air 13-inch multi-function.,75.988,1,8696,75.99,75.99
61,OWC0008,OWC Data Doubler Optical Bay Adapter Mac Mini (2009) iMac (2009-11),Tray substitution of superdrive by hard drive 25 inches.,399.905,1,12755395,39.99,39.99
62,WAC0054,Wacom Bamboo Pen (pen parts for CTL-470K),Replacement pen for CTL-470K.,319.924,0,1229,31.99,31.99
63,WAC0055,Wacom Intuos Professional Accessory Kit,Intuos accessory kit.,22.99,0,101781405,22.99,22.99
64,MAK0015,Stick Maclocks silver metal safely iPad,Security lock plate steel iPad.,499.851,0,12085400,49.99,49.99
65,SEA0049,"Seagate Barracuda 1TB Hard Drive 35 ""SATA for Mac and PC",internal hard drive Mac and PC 1TB (ST1000DM010),412.041,1,12655397,51.58,51.58
66,APP0390,"Apple MacBook Pro 133 ""Core i5 25GHz | 4GB RAM | 500GB HDD",MacBook Pro laptop 133 inches (MD101Y / A).,11.455.917,0,1282,1198.99,1198.99
67,PAC0185,"Apple MacBook Pro 133 ""i5 25GHz | RAM 16GB | 275GB SSD",Apple MacBook Pro 133 inches (MD101Y / A) with 275GB SSD.,1469,0,1282,1469,1469
68,PAC1181,"Apple MacBook Pro 133 ""i5 25GHz | 16GB RAM | 1TB SSD",Apple MacBook Pro 133 inches (MD101Y / A) with extended RAM and SSD.,1769,0,1282,1769,1769
69,PAC1240,"Apple MacBook Pro 133 ""i5 25GHz | RAM 16GB | 525GB SSD",Apple MacBook Pro 133 inches (MD101Y / A) with extended RAM and SSD.,15.755.945,0,1282,1569,1569
70,APP0490,Apple Airport Express,Airport Express base station 802.11a / b / g / n.,1.039.995,0,1334,109,109
71,APP0399,Apple Thunderbolt to Gigabit Ethernet Adapter Mac,Mac adapter Thunderbolt to Gigabit Ethernet (MD463ZM / A).,330.003,1,1325,37.51,37.51
72,SNN0016,Sonnet XMAC mini Server,Turn your Mac mini Server Rack format,10.999.892,0,12175397,1349,1349
73,KAN0009,Kanex ATV Pro HDMI to VGA adapter,HDMI to VGA adapter that supports audio.,399.905,0,1325,39.99,39.99
74,APP0400,Apple MagSafe to MagSafe converter 2,MagSafe to MagSafe converter 2.,119.996,0,1325,12,12
75,APP0407,Apple USB SuperDrive (June 2012 Model),New CD / DVD retina MacBook Pro MacBook Air iMac Mac Pro and Mac Mini.,872.507,1,1424,89,89
76,APP0408,Apple 45W MagSafe 2 charger MacBook Air,Charger MacBook Air MagSafe 2 of 45 W (MD592Z / A).,850.001,0,13005399,89,89
77,APP0409,Apple 85W MagSafe 2 charger MacBook Pro Retina screen 15 '',MagSafe charger 2 of 85 W (MD506Z / A).,850.001,1,13005399,89,89
78,DLK0008,D-Link DCS-932L Wireless IP Camera Cloud,Wireless network camera day and night home with my DLink.,489.929,0,9094,53.99,53.99
79,DLK0009,D-Link DCS-942L Wireless IP Camera Cloud,security camera with Wi-Fi or Ethernet night vision and motion sensor application for iPhone and iPad,869.893,0,9094,93.99,93.99
80,ROL0010,Rollei Chest Mount iPhone 4 / 4S,Case iPhone 4 / 4S for sport.,99.898,0,11865403,9.99,9.99
